Stat,Population,GDP,GDP Per Capita,Primary Education Completion Rate
Average,38842868.35,470343126422,13035.30769,90.25384615
Median,20717938,176599500000,11812,96.6
Min,836774,2707581298,1233,44.2
Max,215313498,3177840000000,33207,99.7
Range,214476724,3175132418702,31974,55.5
Standard Deviation,48980963.23,771399510495,8179.460284,14.3165144
